Event type,Category
syscall_entry_clock_nanosleep,Synchronization and Timing
syscall_exit_clock_nanosleep,Synchronization and Timing
syscall_entry_futex,Synchronization and Timing
syscall_exit_futex,Synchronization and Timing
syscall_exit_mmap,Memory Management
syscall_entry_mmap,Memory Management
syscall_exit_munmap,Memory Management
syscall_entry_munmap,Memory Management
syscall_entry_msync,Memory Management
syscall_exit_msync,Memory Management
syscall_entry_epoll_wait,Unknown
syscall_exit_epoll_wait,Unknown
syscall_exit_newstat,I/O (File and Disk Operations)
syscall_entry_newstat,I/O (File and Disk Operations)
syscall_entry_newfstat,I/O (File and Disk Operations)
syscall_exit_newfstat,I/O (File and Disk Operations)
syscall_entry_ioctl,I/O (File and Disk Operations)
syscall_exit_ioctl,I/O (File and Disk Operations)
syscall_entry_write,I/O (File and Disk Operations)
syscall_exit_write,I/O (File and Disk Operations)
syscall_exit_close,I/O (File and Disk Operations)
syscall_entry_close,I/O (File and Disk Operations)
syscall_exit_openat,I/O (File and Disk Operations)
syscall_entry_openat,I/O (File and Disk Operations)
syscall_entry_read,I/O (File and Disk Operations)
syscall_exit_read,I/O (File and Disk Operations)
syscall_exit_pread64,I/O (File and Disk Operations)
syscall_entry_pread64,I/O (File and Disk Operations)
syscall_exit_newlstat,I/O (File and Disk Operations)
syscall_entry_newlstat,I/O (File and Disk Operations)
syscall_entry_unlink,I/O (File and Disk Operations)
syscall_exit_unlink,I/O (File and Disk Operations)
syscall_exit_gettid,CPU and Process Management
syscall_entry_gettid,CPU and Process Management
syscall_exit_access,I/O (File and Disk Operations)
syscall_entry_access,I/O (File and Disk Operations)
syscall_exit_mprotect,Memory Management
syscall_entry_mprotect,Memory Management
syscall_exit_getpid,CPU and Process Management
syscall_entry_getpid,CPU and Process Management
syscall_entry_splice,I/O (File and Disk Operations)
syscall_exit_splice,I/O (File and Disk Operations)
syscall_exit_fcntl,I/O (File and Disk Operations)
syscall_entry_fcntl,I/O (File and Disk Operations)
syscall_entry_newfstatat,I/O (File and Disk Operations)
syscall_exit_newfstatat,I/O (File and Disk Operations)
syscall_entry_getdents64,I/O (File and Disk Operations)
syscall_exit_getdents64,I/O (File and Disk Operations)
syscall_entry_sync_file_range,Unknown
syscall_exit_sync_file_range,Unknown
syscall_entry_madvise,Memory Management
syscall_exit_madvise,Memory Management
syscall_entry_sched_yield,Unknown
syscall_exit_sched_yield,Unknown
syscall_entry_fdatasync,I/O (File and Disk Operations)
syscall_exit_fdatasync,I/O (File and Disk Operations)
syscall_entry_fadvise64,I/O (File and Disk Operations)
syscall_exit_fadvise64,I/O (File and Disk Operations)
syscall_exit_dup,I/O (File and Disk Operations)
syscall_entry_dup,I/O (File and Disk Operations)
syscall_entry_fsync,I/O (File and Disk Operations)
