Timestamp	Channel	CPU	Event type	Contents	Trace Packet Header	Packet Context	Stream Context	Event Context	TID	Prio	PID	Source
19:40:14.168 391 264	hannel=my-kernel-channel_11	11	irq_softirq_raise	vec=1, context.packet_seq_num=0, context.cpu_id=11	[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]	[timestamp_begin=10061793519710, timestamp_end=10157349618739, content_size=8388560, packet_size=8388608, packet_seq_num=0, events_discarded=0, cpu_id=11]						
19:40:14.168 393 123	hannel=my-kernel-channel_10	10	irq_softirq_raise	vec=7, context.packet_seq_num=0, context.cpu_id=10	[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]	[timestamp_begin=10061792963430, timestamp_end=10218029480810, content_size=8388192, packet_size=8388608, packet_seq_num=0, events_discarded=0, cpu_id=10]						
19:40:14.168 406 098	hannel=my-kernel-channel_11	11	irq_softirq_entry	vec=1, context.packet_seq_num=0, context.cpu_id=11	[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]	[timestamp_begin=10061793519710, timestamp_end=10157349618739, content_size=8388560, packet_size=8388608, packet_seq_num=0, events_discarded=0, cpu_id=11]						
19:40:14.168 411 759	hannel=my-kernel-channel_10	10	irq_softirq_entry	vec=7, context.packet_seq_num=0, context.cpu_id=10	[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]	[timestamp_begin=10061792963430, timestamp_end=10218029480810, content_size=8388192, packet_size=8388608, packet_seq_num=0, events_discarded=0, cpu_id=10]						
19:40:14.168 425 261	hannel=my-kernel-channel_10	10	irq_softirq_exit	vec=7, context.packet_seq_num=0, context.cpu_id=10	[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]	[timestamp_begin=10061792963430, timestamp_end=10218029480810, content_size=8388192, packet_size=8388608, packet_seq_num=0, events_discarded=0, cpu_id=10]						
19:40:14.168 434 636	hannel=my-kernel-channel_11	11	irq_softirq_exit	vec=1, context.packet_seq_num=0, context.cpu_id=11	[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]	[timestamp_begin=10061793519710, timestamp_end=10157349618739, content_size=8388560, packet_size=8388608, packet_seq_num=0, events_discarded=0, cpu_id=11]						
19:40:14.168 619 055	hannel=my-kernel-channel_2	2	sched_waking	comm="node", tid=817, prio=20, target_cpu=2, context.packet_seq_num=0, context.cpu_id=2	[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]	[timestamp_begin=10061787604255, timestamp_end=10216967450759, content_size=8388360, packet_size=8388608, packet_seq_num=0, events_discarded=0, cpu_id=2]						
19:40:14.168 633 712	hannel=my-kernel-channel_2	2	sched_wakeup	comm="node", tid=817, prio=20, target_cpu=2, context.packet_seq_num=0, context.cpu_id=2	[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]	[timestamp_begin=10061787604255, timestamp_end=10216967450759, content_size=8388360, packet_size=8388608, packet_seq_num=0, events_discarded=0, cpu_id=2]						
19:40:14.168 658 894	hannel=my-kernel-channel_2	2	sched_switch	prev_comm="swapper/2", prev_tid=0, prev_prio=20, prev_state=0, next_comm="node", next_tid=817, next_prio=20, context.packet_seq_num=0, context.cpu_id=2	[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]	[timestamp_begin=10061787604255, timestamp_end=10216967450759, content_size=8388360, packet_size=8388608, packet_seq_num=0, events_discarded=0, cpu_id=2]						
19:40:14.168 670 159	my-kernel-channel_2	2	syscall_exit_epoll_wait	ret=0, fds_length=0, overflow=0, fds=[], context.packet_seq_num=0, context.cpu_id=2, context._procname="node", context._pid=817, context._tid=817	[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]	[timestamp_begin=10061346103895, timestamp_end=12032520499040, content_size=309229888, packet_size=309231616, packet_seq_num=0, events_discarded=0, cpu_id=2]	[procname="node", pid=817, tid=817]		817	20	817	[fs/eventpoll.c:0]
